epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4441,3.02273,17.0096,1.735,0,0,0,0,2.77973,15.7938,1.95038,0.00011669,0.00011669,0.00011669
2,22.6593,2.14934,10.3772,1.35355,0.51089,0.57684,0.56113,0.26223,1.59968,6.25637,1.15111,0.000250025,0.000250025,0.000250025
3,32.3199,1.22643,3.02633,0.96768,0.86636,0.70172,0.93808,0.49481,1.63125,4.83635,1.22447,0.000383259,0.000383259,0.000383259
4,42.2864,1.06748,1.6921,0.91587,0.48734,0.89583,0.53784,0.32583,1.39195,11.905,1.09952,0.000516311,0.000516311,0.000516311
5,52.0062,1.0919,1.39573,0.95161,0.61516,0.70833,0.67831,0.47777,1.17571,3.71305,0.98467,0.000649104,0.000649104,0.000649104
6,61.4749,1.04566,1.13067,0.92832,0.85156,0.92452,0.98842,0.66788,1.16514,1.86206,0.97837,0.000781559,0.000781559,0.000781559
7,70.2781,1.01506,0.90292,0.93217,0.93016,0.97469,0.995,0.66072,1.29615,1.3784,1.06961,0.000913597,0.000913597,0.000913597
8,79.6048,1.03223,0.88082,0.91559,0.99164,0.99557,0.995,0.69618,1.15493,0.98872,0.97606,0.00104514,0.00104514,0.00104514
9,88.9235,1.04841,0.77004,0.95348,0.98417,1,0.995,0.72178,1.03844,1.00212,0.96165,0.00117611,0.00117611,0.00117611
10,98.2322,1.05219,0.72473,0.94428,0.9825,1,0.995,0.71368,0.9865,0.79326,0.9668,0.00130643,0.00130643,0.00130643
11,107.313,1.07589,0.7425,0.92443,0.9792,1,0.995,0.67435,1.24402,0.75979,1.03094,0.00143603,0.00143603,0.00143603
12,116.743,1.02329,0.68816,0.92708,0.94985,0.96895,0.9942,0.67541,1.15078,0.71584,0.98053,0.00156482,0.00156482,0.00156482
13,126.132,0.99837,0.74403,0.91372,0.97134,0.84406,0.99192,0.71366,1.05009,0.7057,0.98331,0.00164343,0.00164343,0.00164343
14,134.874,0.96908,0.67036,0.934,0.8704,1,0.99217,0.70653,1.06032,0.65967,0.97745,0.00163937,0.00163937,0.00163937
15,144.207,0.9598,0.61867,0.9091,0.91246,0.98543,0.995,0.70676,1.1046,0.67943,0.99134,0.00163498,0.00163498,0.00163498
16,153.753,0.99464,0.59032,0.93245,0.94525,1,0.995,0.69749,1.09219,0.5885,0.98067,0.00163029,0.00163029,0.00163029
17,163.027,0.9844,0.55644,0.9272,0.97925,1,0.995,0.68646,1.1729,0.60768,1.01936,0.00162527,0.00162527,0.00162527
18,172.355,0.98255,0.5822,0.9235,0.98591,1,0.995,0.72749,1.08301,0.56437,0.99492,0.00161995,0.00161995,0.00161995
19,181.817,0.9862,0.59204,0.93026,0.9929,0.99831,0.995,0.7589,1.00634,0.53013,0.94739,0.00161432,0.00161432,0.00161432
20,191.275,0.9364,0.57012,0.90876,0.97322,1,0.995,0.73042,1.04421,0.5092,0.95842,0.00160839,0.00160839,0.00160839
21,200.276,0.90105,0.54689,0.89622,0.96757,1,0.9926,0.69448,1.15623,0.53247,1.00657,0.00160215,0.00160215,0.00160215
22,209.588,0.90761,0.49346,0.89598,0.99333,1,0.995,0.7415,0.97563,0.48309,0.92331,0.00159561,0.00159561,0.00159561
23,218.987,0.92786,0.52628,0.909,0.99186,1,0.995,0.74787,1.02573,0.50567,0.93619,0.00158877,0.00158877,0.00158877
24,227.78,0.93592,0.53474,0.90897,0.98989,1,0.995,0.75122,0.96105,0.50695,0.93123,0.00158164,0.00158164,0.00158164
25,237.416,0.9594,0.53002,0.91633,0.9911,1,0.995,0.68186,1.16442,0.54149,0.98363,0.00157421,0.00157421,0.00157421
26,247.046,0.95509,0.54534,0.8986,0.95153,1,0.995,0.7435,1.02655,0.52187,0.95165,0.0015665,0.0015665,0.0015665
27,256.236,0.93322,0.58657,0.89639,0.98909,1,0.995,0.68983,1.23029,0.54927,1.00981,0.0015585,0.0015585,0.0015585
28,265.333,0.9187,0.57376,0.90786,0.96976,0.88658,0.98597,0.72105,1.08716,0.72778,0.9552,0.00155022,0.00155022,0.00155022
29,274.631,0.89415,0.54912,0.88508,0.98295,0.66288,0.76899,0.55284,1.11576,1.58173,0.97831,0.00154167,0.00154167,0.00154167
30,284.058,0.86716,0.5277,0.88144,0.99093,1,0.995,0.72036,1.08426,0.47063,0.98121,0.00153284,0.00153284,0.00153284
31,292.999,0.8742,0.51678,0.90199,0.97683,1,0.995,0.71463,1.10997,0.50032,0.96041,0.00152373,0.00152373,0.00152373
32,302.717,0.90514,0.54449,0.90597,0.96577,0.69697,0.84254,0.55466,1.39105,nan,1.06732,0.00151437,0.00151437,0.00151437
33,312.144,0.90724,0.54931,0.90175,0.34158,0.28598,0.30971,0.23127,nan,nan,nan,0.00150474,0.00150474,0.00150474
34,320.994,0.88559,0.48518,0.8964,0.1,0.02273,0.07027,0.04919,nan,nan,nan,0.00149485,0.00149485,0.00149485
35,330.287,0.93024,0.51806,0.88319,0.87214,0.41786,0.55126,0.39166,1.44717,1.86501,1.2263,0.00148471,0.00148471,0.00148471
36,339.879,0.8709,0.48552,0.89133,1,0.78669,0.85258,0.60784,1.16289,0.87867,0.98818,0.00147432,0.00147432,0.00147432
37,349.206,0.89384,0.48022,0.88777,0.98393,0.99766,0.995,0.7371,0.97507,0.51992,0.93183,0.00146369,0.00146369,0.00146369
38,358.318,0.87563,0.50508,0.8807,0.99665,1,0.995,0.71263,1.09392,0.48055,0.97986,0.00145281,0.00145281,0.00145281
39,367.766,0.83332,0.45945,0.87621,0.99368,1,0.995,0.72346,1.10202,0.44007,0.96275,0.0014417,0.0014417,0.0014417
40,377.273,0.88023,0.47083,0.88585,0.99526,1,0.995,0.70927,1.12104,0.4493,0.97545,0.00143036,0.00143036,0.00143036
41,386.418,0.84097,0.46092,0.88315,0.9937,1,0.995,0.73259,1.03223,0.42554,0.93636,0.0014188,0.0014188,0.0014188
42,395.856,0.84497,0.48847,0.87807,0.9904,0.83247,0.92429,0.68317,1.03074,0.92915,0.95088,0.00140701,0.00140701,0.00140701
43,405.474,0.86366,0.46797,0.88848,0.98295,0.8914,0.95438,0.67492,1.06356,0.72237,0.95804,0.00139501,0.00139501,0.00139501
44,414.574,0.82453,0.47071,0.89202,0.99476,1,0.995,0.75985,0.9546,0.45187,0.92596,0.0013828,0.0013828,0.0013828
45,423.812,0.85231,0.47451,0.87842,0.99617,1,0.995,0.6873,1.22735,0.49324,1.00116,0.00137039,0.00137039,0.00137039
46,433.469,0.87149,0.47848,0.88717,0.99319,1,0.995,0.74189,0.97854,0.43669,0.92686,0.00135778,0.00135778,0.00135778
47,443.062,0.87212,0.4772,0.88397,0.99281,1,0.995,0.71297,1.15911,0.44997,0.97088,0.00134497,0.00134497,0.00134497
48,451.924,0.85178,0.47088,0.89008,0.99393,0.99829,0.995,0.72572,1.06197,0.44113,0.95831,0.00133198,0.00133198,0.00133198
49,461.413,0.87351,0.4525,0.88341,0.9935,1,0.995,0.72477,1.07309,0.4553,0.9439,0.0013188,0.0013188,0.0013188
50,471.086,0.864,0.44759,0.87489,0.99169,1,0.995,0.72046,1.08624,0.45399,0.95534,0.00130545,0.00130545,0.00130545
51,480.391,0.83002,0.44347,0.86366,0.99613,1,0.995,0.76311,0.94858,0.43885,0.92578,0.00129192,0.00129192,0.00129192
52,489.65,0.83734,0.46966,0.90654,0.99381,1,0.995,0.74994,0.96255,0.41767,0.9248,0.00127824,0.00127824,0.00127824
53,499.148,0.79595,0.43822,0.87307,0.99457,1,0.995,0.73891,1.02545,0.52639,0.95003,0.00126439,0.00126439,0.00126439
54,508.67,0.79835,0.44526,0.87807,0.99497,1,0.995,0.77338,0.93669,0.40825,0.91829,0.00125039,0.00125039,0.00125039
55,517.735,0.83289,0.44187,0.87948,0.99425,1,0.995,0.77087,0.98305,0.45084,0.92078,0.00123625,0.00123625,0.00123625
56,527.373,0.82482,0.44821,0.8736,0.99187,1,0.995,0.67888,1.26761,0.50268,0.99397,0.00122196,0.00122196,0.00122196
57,536.8,0.82996,0.45754,0.877,0.99672,1,0.995,0.75928,0.94327,0.40457,0.90993,0.00120754,0.00120754,0.00120754
58,545.762,0.81134,0.44771,0.86884,0.99619,1,0.995,0.76257,1.01099,0.41,0.9228,0.001193,0.001193,0.001193
59,554.901,0.82507,0.43639,0.88461,0.99531,1,0.995,0.7616,0.91013,0.40829,0.91705,0.00117833,0.00117833,0.00117833
60,564.204,0.80949,0.42846,0.87796,0.99655,1,0.995,0.73937,1.02321,0.40369,0.92443,0.00116355,0.00116355,0.00116355
61,573.573,0.78948,0.41051,0.85756,0.99471,1,0.995,0.7288,1.02442,0.42068,0.9289,0.00114866,0.00114866,0.00114866
62,582.504,0.80308,0.43081,0.88406,0.99659,1,0.995,0.73032,1.00653,0.39667,0.92669,0.00113367,0.00113367,0.00113367
